Site,      Instrument, XCO2_cal, XCH4_cal, XH2O_cal, XCO_cal,  Comment
  
Karlsruhe, SN037,      1.000000, 1.000000, 1.000000, 1.000000, KIT (ref. instr.)
Sodankyla, SN039,      0.999668, 0.999639, 0.999388, 1.000000, KIT  
 
